"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US2108902","Bowling Green city, Kentucky","79083","31",
"1600000US2146027","Lexington-Fayette urban county, Kentucky","329437","*****",
"1600000US2148006","Louisville/Jefferson County metro government (balance), Kentucky","640793","48",
"1600000US2205000","Baton Rouge city, Louisiana","220901","49",
"1600000US2239475","Kenner city, Louisiana","64651","27",
"1600000US2240735","Lafayette city, Louisiana","122273","42",
"1600000US2241155","Lake Charles city, Louisiana","81166","38",
"1600000US2250115","Metairie CDP, Louisiana","145144","9385",
"1600000US2255000","New Orleans city, Louisiana","362701","*****",
"1600000US2270000","Shreveport city, Louisiana","177972","1753",
"1600000US2360545","Portland city, Maine","69572","23",
"1600000US2404000","Baltimore city, Maryland","568271","*****",
"1600000US2407125","Bethesda CDP, Maryland","71717","5926",
"1600000US2419125","Columbia CDP, Maryland","101936","8012",
"1600000US2426000","Ellicott City CDP, Maryland","77698","6070",
"1600000US2430325","Frederick city, Maryland","89545","37",
"1600000US2431175","Gaithersburg city, Maryland","70708","81",
"1600000US2432025","Germantown CDP, Maryland","91497","10951",
"1600000US2432650","Glen Burnie CDP, Maryland","77937","8108",
"1600000US2467675","Rockville city, Maryland","68417","31",
"1600000US2472450","Silver Spring CDP, Maryland","77793","8641",
"1600000US2481175","Waldorf CDP, Maryland","81672","5978",
"1600000US2507000","Boston city, Massachusetts","673822","3086",
"1600000US2509000","Brockton city, Massachusetts","105785","24",
"1600000US2511000","Cambridge city, Massachusetts","121203","57",
"1600000US2523000","Fall River city, Massachusetts","94687","22",
"1600000US2524960","Framingham city, Massachusetts","73356","33",
"1600000US2529405","Haverhill city, Massachusetts","68281","39",
"1600000US2534550","Lawrence city, Massachusetts","89323","37",
"1600000US2537000","Lowell city, Massachusetts","120418","34",
"1600000US2537490","Lynn city, Massachusetts","103510","84",
"1600000US2537875","Malden city, Massachusetts","66699","33",
"1600000US2545000","New Bedford city, Massachusetts","101313","34",
"1600000US2545560","Newton city, Massachusetts","90695","28",
"1600000US2555745","Quincy city, Massachusetts","103430","27",
"1600000US2562535","Somerville city, Massachusetts","82144","35",
"1600000US2567000","Springfield city, Massachusetts","154886","32",
"1600000US2572600","Waltham city, Massachusetts","65840","39",
"1600000US2582000","Worcester city, Massachusetts","211289","32",
"1600000US2603000","Ann Arbor city, Michigan","122914","52",
"1600000US2621000","Dearborn city, Michigan","106383","34",
"1600000US2622000","Detroit city, Michigan","645702","43",
"1600000US2627440","Farmington Hills city, Michigan","84160","55",
"1600000US2629000","Flint city, Michigan","79727","37",
